Gene ID,Gcn5_1,Gcn5_2,Gcn5_3,Gcn5_4,Gcn5_5,Gcn5_6,Gcn5_7,Gcn5_8,Gcn5_9,Gcn5_10,Gcn5_11,Gcn5_12,Gcn5_13,Gcn5_14,Esa1_1,Esa1_2,Esa1_3,Esa1_4,Esa1_5,Esa1_6,Esa1_7,Esa1_8,Esa1_9,Esa1_10,Esa1_11,Esa1_12,Esa1_13,Esa1_14,Set1_1,Set1_2,Set1_3,Set1_4,Set1_5,Set1_6,Set1_7,Set1_8,Set1_9,Set1_10,Set1_11,Set1_12,Set1_13,Set1_14
YBR078W,-0.177829228,-0.178369412,-0.374417805,0.420748603,1.567747997,1.497415041,1.808845612,-0.049970009,-0.276284221,-0.800141754,-0.651818181,-0.352992696,-0.758633148,-1.674300799,-0.243559672,-1.165644799,-1.078372078,-0.45180887,0.081930599,0.927290022,0.778920677,2.582621195,-0.231615753,0.262817936,0.538670257,-0.209957694,-0.967666856,-0.823624963,-1.36752113,-1.343756948,0.456594377,0.871286751,1.404709874,0.933453316,0.558838423,0.003923498,0.341552507,0.379205753,-0.300520205,0.871155124,-1.673742293,-1.135179048
YBR118W,-0.658511508,-0.347137306,-0.038154252,0.868505916,2.130412745,1.667042867,1.018914939,-0.762236426,-1.038230657,-0.633533312,-0.671967384,-0.568371688,-0.609969618,-0.356764316,-0.575416261,0.045608275,0.428488025,1.089142216,0.807476316,1.932111791,1.037214423,-1.069604608,-1.320855856,-1.137639393,-1.066008057,-0.618757531,0.094768053,0.353472607,0.147613256,0.147613256,1.954540701,1.954540701,0.640027928,-0.018793161,0.213312497,-1.182548384,-1.263257836,-0.947084986,-0.680510637,-0.623530662,-0.34259905,0.000676377
YBR162C,-0.133198912,-0.992541622,-0.788917833,0.467601593,0.371365098,0.995481072,2.708835636,0.406265263,-0.384302171,-0.332052412,-0.732322904,-1.235838081,-0.441100155,0.090725427,0.272945511,-0.343371929,-0.197434209,-1.185670925,1.512670206,2.258009556,0.814200434,0.571968653,-0.435548979,-0.50149078,-0.029389316,-1.081261813,-0.873724555,-0.781901855,-0.365347293,-0.560333961,-0.317667684,0.871355809,1.327346345,1.817588189,0.568217262,0.518702251,-0.899847845,-1.247055903,0.11801749,-1.904095431,0.154712925,-0.081592154
YBR213W,1.084119694,-0.15176799,-0.475402528,0.252681996,2.208699492,-1.439195769,0.582835797,0.708610711,0.333118944,-0.29258261,-1.091740451,-0.887881269,0.358149469,-1.189645486,0.155198396,0.192199157,-0.945341475,0.015008321,1.994473604,-1.353664541,0.80718661,0.092564789,0.065022996,-0.727254623,-1.313987946,-0.796714433,0.189146761,1.626162383,-0.181987849,-0.512568562,0.473702615,1.286796358,1.515731712,-1.266111541,-0.189533838,-0.983568393,-0.312462141,0.733650614,-1.979855236,1.110214733,-0.053170686,0.359162214
YBR240C,-1.075576492,-0.351744321,0.162516761,-0.50888261,1.397096496,1.62503087,1.68781134,-0.739660126,-0.087224984,-1.14708767,-1.383213358,-0.155065038,0.385466442,0.190532691,-0.59502591,0.665249002,-0.572574484,0.046293754,-0.040106982,0.31364353,0.5938213,1.834904883,-0.016110252,-1.193935509,-1.748639449,-0.679448265,-0.338458128,1.730386509,-0.062579565,-0.254591343,0.359405309,-0.607551876,2.207215215,0.909618855,1.351176364,-1.433148262,-0.541872336,-0.887970947,-0.463693663,-1.147348156,0.482426461,0.088913943
YBR267W,-0.764195702,0.921741084,-0.356407229,0.61792978,2.08136682,1.057643615,0.54634029,-0.631723766,-0.827765934,-1.472486906,-0.689450666,0.839498812,-0.63604862,-0.686441578,0.345250016,0.056393575,-0.38616822,0.372572793,1.734196486,0.505453243,1.852280356,-0.358259436,-0.952497236,-1.427843446,-1.451285319,-0.42414616,-0.445989386,0.580042735,0.280450897,-0.505142399,-0.867081851,0.473220071,2.107016409,0.86278236,-0.709919336,-1.17069131,-0.514304168,0.260845417,-1.06882223,-0.783904934,0.041552485,1.593998589
YBR290W,-0.157489709,-1.042929473,-0.030993151,0.073930452,2.236323255,2.213655196,-0.244774635,0.15072465,-0.635938263,-0.857070878,-0.423901347,-0.320280715,-0.563571179,-0.397684202,-0.494854515,-0.343761495,-0.459527753,0.635319517,1.650409513,1.390283511,1.124829267,0.303101326,0.127705542,-1.172410153,-2.024158632,0.219724488,-0.563030498,-0.393630118,-0.557599302,-0.110415804,-1.111059938,-0.113474008,-0.716167575,-0.113474008,0.102052516,-0.111737971,-0.3626284,-0.485690936,0.625349194,3.047412291,0.598474999,-0.691041059
YCL018W,-0.443227437,-0.513235157,-0.119430502,0.429172541,0.515932822,3.087756099,0.425467552,0.274490776,-0.461900199,-0.673855617,-0.751829311,-0.618150997,-0.514426867,-0.636763704,-0.5233617,-0.284893893,-0.174706366,0.393823385,2.060356281,1.780827794,1.347618888,-0.657681779,-0.871993095,-0.718949543,-0.608497155,-0.662881825,-0.290335237,-0.789325754,-0.137980776,-1.053021623,-0.636662471,2.062707836,0.677705472,0.385285374,0.695604412,-0.645121731,-0.89038865,0.391571174,-1.402731513,-0.448273303,-0.521158174,1.522463973
YCL025C,-0.315580036,-0.404019445,0.08340658,0.128467145,0.491560915,2.755407257,1.15765778,0.336025181,-0.644230269,-1.153212258,-0.961582232,-0.476653722,-0.370736146,-0.62651075,-0.455861919,0.176723344,-0.58081526,0.028761157,0.479403896,1.718169113,1.399816331,1.842123746,-1.016425711,-0.95875285,-0.923286796,-0.726904895,-0.680780854,-0.302169303,-0.606727481,-0.287352961,0.694737623,1.161579775,0.77654545,2.18354451,0.536185251,0.36838751,-1.506633406,-0.837571316,-0.536767162,-0.69964067,-0.177280981,-1.069006141
YCL030C,-0.083339103,-0.259432476,0.319821067,1.060452904,-0.103573891,0.809685875,1.190957459,-0.255035297,1.674687489,0.239992887,-0.946368166,-0.334112429,-1.349200094,-1.964536226,-0.45388517,-0.476117942,0.401764766,-0.652962454,1.351703126,1.260401694,1.261411724,1.727136585,-0.191538035,-1.039288439,-1.284603806,-0.729102118,-0.567107667,-0.607812264,-0.418842867,0.003395998,-0.299360001,-0.027095687,0.820708568,1.516601977,1.513685957,0.449798107,-0.486638446,-1.128841415,-1.72643133,1.204705212,-0.314973386,-1.106712687
