Gene name,RNAseq1,RNAseq2,RNAseq3,RNAseq4,RNAseq5,RNAseq6,RNAseq7,RNAseq8,RNAseq9,RNAseq10,RNAseq11,RNAseq12,RNAseq13,RNAseq14,RNAseq15,RNAseq16
YAL011W,0.464353286,-0.257223507,-0.177481628,-0.622525614,0.379171169,0.189950541,0.858416156,1.114600106,0.055026553,1.536045473,0.464353286,-1.700284322,-1.721214135,-0.470136856,-1.375816581,1.262766073
YAL012W,-0.617213298,-0.035364483,0.569928196,1.631539103,1.206931919,0.871582099,0.653616226,0.597813645,0.388758432,0.575249116,0.306050076,-1.053327398,-1.716647024,-1.215048917,-1.382376252,-0.781491441
YAL013W,-0.199094598,-0.095763209,-0.199094598,-0.741241624,0.729796035,-0.066531835,0.246825915,0.077732335,-1.366781864,0.519450932,0.845261567,-1.226466928,-1.004573619,0.005990574,-0.395352471,2.869843387
YAL014C,0.237785135,0.209782781,-0.092345107,-0.862190847,-1.460491275,-1.136389239,0.082142729,0.470712013,-0.272016373,1.21589121,0.810458288,-0.033621434,-1.20692603,-0.1965037,-0.348483696,2.582195545
YAL015C,-1.050875968,-0.567472701,-0.69834748,0.327340393,-0.602768306,-0.463309994,0.494881028,1.145285202,0.522173888,1.074200515,0.558294049,1.215201341,1.403590787,-1.596351102,-1.76375617,0.00191452
YAL016W,1.0671154,0.862812996,-0.294090211,-2.200294943,-1.790209832,-0.317164625,-0.271178198,0.16447148,-0.427062021,0.386407204,-0.540799372,0.192642627,0.58394784,0.2547456,0.455624669,1.873031384
YAL017W,0.832590285,0.547581616,-0.092285151,-2.635491062,-2.020620707,-0.094260709,-0.282384861,0.025844374,-0.034080694,0.37478917,0.170244102,0.613533476,0.927384311,0.273272208,0.23476984,1.159113802
YAL018C,1.041043372,0.74277353,0.663869131,-0.695690582,0.500263361,-0.464363402,-0.144787868,1.314941353,0.238842761,-0.578033085,-2.368567805,-0.695690582,-0.144787868,-0.578033085,-0.578033085,1.746253853
YAL019W,-0.038333291,0.33660349,0.696406619,1.388391872,1.367948989,0.668611361,0.848182689,0.769332549,0.178757957,0.205267848,-0.471232539,-1.724391328,-1.724391328,-1.08516428,-1.166092412,-0.249898195
YAL020C,-0.329611855,-0.86638324,0.111168386,-0.117926049,-0.040531573,0.880100765,1.009389256,1.320311279,-0.466030656,0.234566227,-0.066212915,-0.749093085,-1.108477714,-1.492106946,-0.720144551,2.400982672
YAL021C,0.258243043,0.823278978,-0.094411581,0.612960479,0.522032253,0.516300837,0.371111726,1.211852831,-0.456690084,0.88811636,-0.28256155,-2.046189768,-1.506473977,-0.573485771,-1.506473977,1.262390201
YAL022C,-1.167483715,-0.625429961,-0.387103122,0.314171583,0.844359092,1.615487432,1.550454723,0.898574494,-0.08539488,0.782684908,-0.167465776,-0.301528281,-1.761289426,-0.922773108,-1.187566113,0.600302151
YAL023C,-0.917144439,-0.587828441,-0.613620483,0.262882715,0.699565,0.922693081,1.292071414,1.60513284,0.834769706,1.10021635,0.485919271,-0.750864744,-1.253856472,-1.150555711,-1.362554696,-0.566825392
YAL024C,-0.532117457,-0.086353153,0.11059654,0.464385547,0.479368211,0.596193329,1.39927462,1.53668119,0.973993337,0.828145032,0.11059654,-0.68006376,-1.754374306,-0.900032983,-1.684249964,-0.862042724
