Gene name,microarray1,microarray2,microarray3,microarray4,microarray5,microarray6,microarray7,microarray8,microarray9,microarray10,microarray11,microarray12,microarray13,microarray14,microarray15,microarray16,microarray17,microarray18,microarray19,microarray20,microarray21,microarray22,microarray23,microarray24,microarray25,microarray26,microarray27,microarray28,microarray29,microarray30,microarray31,microarray32,microarray33,microarray34,microarray35,microarray36
YAL008W,0.159401157,0.938020443,-0.161988874,0.807113582,0.949588745,0.63422726,0.696276937,0.164370492,-2.454373162,-0.131247925,-0.264059766,-0.464592491,-1.616879836,0.409174608,0.195965453,0.743070547,1.219726855,0.64304444,0.636860956,-0.373437802,0.298881886,0.328869853,-1.03925134,-0.189884206,-1.896408335,0.554463108,0.487513809,0.942301506,1.140867257,0.887131358,-0.049365882,-2.490830238,0.147214133,0.755948303,-1.945920421,-0.66179241
YAL009W,-0.201420702,-0.401312853,-1.282707247,0.533632875,1.403613785,1.294922993,1.693196269,1.768222593,-1.512034544,0.107700824,-1.086458731,-0.827221219,-0.703025302,-1.427258228,-0.181199194,-0.779174846,0.632075708,0.855306443,0.446862341,1.292208725,0.628536324,0.16885595,-1.146334117,0.986243408,-0.729568383,-0.141154525,0.102229403,-0.341473541,1.461658954,0.349253565,0.506540017,-0.953854213,0.383149365,0.220602934,-2.272498392,-0.848116439
YAL010C,0.573231853,-0.853891782,0.007044724,1.334132134,0.894927256,1.526131998,1.133389173,0.653659203,-2.68174805,-0.861770901,-0.442182056,0.503114453,0.908799905,-1.148758177,0.083490681,-1.158466657,0.31507044,0.356171766,0.733930991,1.628069944,-1.557474532,-0.305872013,-1.366635264,0.865964096,-0.706281955,-0.757643154,0.492576542,0.388487958,1.050917826,0.802808995,0.418954894,-1.539271612,-0.581525225,0.212010238,-0.862421192,-0.058942501
YAL011W,-0.103368552,-0.569677279,1.069207635,0.981641067,0.522614922,0.767820569,1.663740028,1.938897461,1.517412638,-0.909980702,-0.205904833,0.353143018,0.681208216,-1.406601331,-0.494601523,-1.079649725,-0.676242715,0.023596388,0.818824103,1.208761309,-0.951583551,-0.365671783,-2.149342934,0.798302688,-1.21267824,-2.480058407,-0.020193072,-0.377962675,0.517059543,0.159096912,-0.364291793,-0.202597773,0.017328018,0.579694422,-0.554673327,0.50673128
YAL012W,0.176303587,-1.523761477,-0.712615976,-0.619960642,-0.442966982,-0.624032884,-0.291089107,0.37948302,1.441888996,0.877367751,0.70026522,0.835793408,0.524557028,-1.473466696,-1.095598754,-1.393136694,-0.940156215,-0.837735552,-0.327944414,1.561006119,1.293312103,0.789135007,0.80565048,0.725240954,-0.003042562,-1.745601096,-0.709598392,-1.131042168,-0.797106024,-0.727245314,-0.49085499,1.830791291,1.391311273,0.954328552,0.818782192,0.781738957
YAL013W,-0.148379887,0.523551757,-0.208790595,1.16493702,1.586871014,0.922613908,1.29722945,0.802287773,-0.85099241,-0.614690903,-2.449068146,-0.990194316,1.149005435,0.930722134,-1.008559437,-1.387704105,-1.37887483,0.29930518,-0.214345116,0.908195721,-0.57609369,-0.492750946,-0.870610196,0.501381299,-0.57116839,0.803760256,1.163302397,-1.030244612,0.038831439,-0.363092677,0.033087153,1.800971326,1.303312648,-0.510154593,-0.834733011,-0.728918049
YAL014C,-0.324136587,0.756080792,-0.066359227,1.03940568,1.987831225,1.540544502,1.603287632,0.864567695,-2.049248748,-1.155858996,-1.412125392,-1.058848239,0.659698644,0.511212879,-2.182355866,0.588064767,-0.518716977,0.489745551,0.618181658,0.519744968,-1.773495612,-0.330514914,0.235378576,0.602236097,-1.15816706,-0.138951295,1.194072509,0.39337188,-0.011636835,0.48789947,-0.089632461,-0.44205643,0.139478443,-0.218921323,-0.724974079,-0.574802927
YAL015C,1.972214898,0.987166661,-0.65500563,-0.476844837,-0.163770178,-0.353142346,-0.02155579,-0.080033,-0.683165742,-0.451519225,-0.58475195,0.798269068,1.99639746,1.008411414,-2.677528284,-1.887944819,-1.786709923,-0.838552357,-0.657999266,0.836284688,-0.053601447,0.696425702,0.665454833,0.708446012,0.239083596,0.431839454,-0.19027552,-1.013845106,-0.783219398,-0.232563379,-0.548053455,0.36642455,0.604293689,1.00513381,1.025265223,0.798970591
YAL016W,0.041501132,0.944098144,0.146558632,1.141759291,1.526304573,1.265204278,0.848082541,-0.17607772,-2.242852686,-0.547891168,-2.200250698,-0.245601674,0.078347681,1.468976459,-1.834606544,-0.265574913,-0.18217708,0.831866777,0.873954812,-0.5218248,-0.421174836,0.071946048,-0.330124001,-0.661512743,-0.969195797,-0.295657299,1.381586394,1.290522056,-0.137073699,1.103337454,-0.60597097,-1.655189062,0.566705907,0.449783871,-0.22942971,-0.508350651
YAL017W,0.024448182,1.01258216,0.115709552,0.754124727,1.218897259,0.945892397,0.631457429,-0.439839292,-3.100620908,-0.627890883,-2.123135659,-0.278833088,0.475646277,1.446114677,0.771870834,0.261693301,-0.048683745,0.856013038,0.448149097,-1.257834951,0.020354053,-0.177304992,-0.41878287,-0.347476573,-0.41786858,0.36036716,1.084396933,0.586492703,0.541926895,0.888846364,-0.469243956,-2.528755818,0.397631362,0.157841337,-0.387821937,-0.376362483
YAL018C,-0.523258153,-0.799567247,-0.443736231,1.452580732,1.744284865,1.467452795,1.374105411,-0.428236078,-0.555575875,-1.870116835,-2.137408175,-1.516489004,0.013982827,-0.375126222,0.565706971,0.135374542,-0.299303136,1.30468373,0.714984885,-0.312576317,0.108418916,-1.039115993,0.094507606,-1.184442641,-1.394647794,-0.575851625,0.674535642,0.973642231,0.726636469,1.811387435,0.632433364,-0.439329334,0.404189138,-0.273786675,0.244077468,-0.274417693
YAL019W,-0.397392841,-1.215185639,-0.90030274,-0.691501388,-0.26717566,-0.345628654,-0.025448687,-0.605011732,2.798119316,0.093396045,-0.807612724,0.714873889,-0.352737914,-1.054841042,-0.726369035,-0.64058625,-1.106437163,-0.410985378,-0.218314665,1.941943517,1.273478502,0.863830049,0.720889117,0.732194996,-0.255052307,-1.421391308,-0.766299655,-1.101025554,-0.835882458,-0.303371098,-0.006255051,2.01676524,1.175332412,0.906005971,0.708889087,0.509090799
YAL020C,0.18955739,-1.325245143,-2.078782158,-0.112866732,0.621535885,-0.039612555,0.968499228,0.554601706,1.145316318,-0.289004424,-1.624803998,-0.196022717,0.600606029,-0.940773838,-0.283157899,-0.793597284,-0.788397778,-0.441424423,-0.153325317,0.472867768,3.086182528,0.833495614,-0.04366066,0.207158336,0.467446179,-1.253281463,-0.041553679,-1.602570675,-0.506557766,-0.386521422,0.396104744,1.00395023,1.956884443,0.339398543,-0.030336629,0.087891619
YAL021C,-0.277301586,0.189766378,-0.392389974,0.690428256,1.089413508,0.832542511,0.466936935,0.310024271,0.41053993,-1.5729499,-3.239587481,-0.262786962,-0.006676834,0.50585778,0.698411273,0.05924981,-0.551208421,-0.168338467,0.043554955,-0.563088456,2.043153267,0.519386071,0.24135309,0.494675464,-0.821737553,-3.018042908,0.637512358,-0.146360358,-0.745343904,0.070057188,-0.049460083,0.29261677,0.985565042,0.813946779,0.462851607,-0.042570357
YAL022C,0.605901189,0.072770301,-0.284593356,0.180978584,0.410703709,-0.126794432,0.30430113,0.164370032,1.104594697,0.312222758,-1.957188828,-0.942888693,0.802132178,-0.009181044,-0.223718043,-0.63180431,-1.544194668,-0.745370419,-0.480477168,0.071981873,3.262026474,0.478356097,-0.114904369,-0.087694859,0.602271104,-1.14239073,0.402030863,-1.393639521,-1.417167715,-0.598702218,-0.591776236,1.241317753,2.216093632,0.226249654,-0.022560095,-0.143255327
YAL023C,0.249904824,-0.19846676,-0.574174084,-0.384315738,-0.271082268,-0.738628823,-0.668771972,-0.601369169,1.084248431,0.710377457,-0.474553329,0.766187491,0.558553195,-0.101231994,-0.506118545,-1.115347075,-1.374569194,-1.057194558,-1.060354646,0.023548351,1.76934431,1.753123423,1.658227053,1.003191286,-0.092627602,-0.898004067,-0.386737462,-1.296836378,-1.418471729,-1.254920657,-0.990385311,0.80305819,1.242123929,1.60564544,1.347017837,0.889610145
YAL024C,0.058845124,0.198101948,-0.236587224,-0.463169681,-0.301980397,-0.717674416,-0.575153902,-0.883849876,0.690608709,-1.033110659,-1.049888109,0.729670757,0.627873671,0.517777564,-0.35249607,-0.28531884,-1.080297472,-0.664414399,-1.34307788,-0.392899699,1.794965623,1.288452457,1.718323249,1.7361234,-0.442662444,-1.217368429,-0.08156693,-1.047014844,-1.1377948,-1.139454874,-0.729925917,0.315866635,0.720738807,1.85597626,1.825569138,1.096813521
YAL025C,-1.112175776,-1.429309004,-0.493788274,-0.525584677,-0.236565198,-0.302043198,0.041797794,0.906118696,2.783385207,-0.29663811,-0.359042534,0.214840814,-0.643150223,-0.956716611,-0.526993461,-0.566232989,-0.329303119,-0.169581392,0.059019416,2.66433817,0.5318422,-0.222032706,-0.071870512,0.420814146,-0.337398555,-0.890140155,-0.54910808,-0.71662726,-0.552437979,0.000123674,0.265845645,3.186940136,-0.108117305,-0.262972477,0.422438408,0.16032529
