gene.id	ura3_noglu_OD0.214	ura3_noglu_OD0.641	ura3_noglu_OD1.47	ura3_withglu_OD0.182	ura3_withglu_OD0.291	ura3_withglu_OD0.5	dtrmB_noglu_OD0.042	dtrmB_noglu_OD0.104	dtrmB_noglu_OD0.355	dtrmB_withglu_OD0.222	dtrmB_withglu_OD0.314	dtrmB_withglu_OD0.8
VNG0032H	-0.480142228	-0.485303797	-0.746464341	0.785776189	0.255519363	-0.080852988	-0.450273841	-0.964310039	-0.610005689	-0.034965152	0.116769495	0.262459177
VNG0033H	0.69609873	0.486342224	0.597655906	0.120741592	0.755215303	0.647886692	-0.818021541	0.427466915	-0.004450733	0.681237675	1.301118011	-0.676601466
VNG0034H	-0.243120789	0.535329372	0.023564142	0.45880817	0.955908441	0.283042947	-0.693703319	-0.177324024	0.250771811	0.404947544	0.17617083	0.410434902
VNG0035C	1.549575014	1.572083811	1.084491015	1.824001798	1.606287494	1.368211532	0.20451005	0.663869514	-0.418879648	1.45321794	0.969805693	1.195967486
VNG0037H	-0.338705844	0.137559535	0.39768099	-0.504791075	0.114768916	0.231291334	-0.323785387	0.025678511	0.745959879	-0.495270945	0.345793318	0.227155885
VNG0038H	0.111293706	0.432368634	0.673960062	-0.050686998	0.707181308	0.631500845	0.068475303	0.333620884	0.480432374	0.033108307	0.819957719	0.524214226
VNG0039H	0.405943412	0.370554981	0.901368592	0.237805664	0.307992982	0.526926045	-1.034947905	-0.554806905	0.610594564	0.442380698	0.512474995	0.591034948
VNG0040C	0.630189778	1.046152714	0.406457046	0.021924804	0.150737509	0.048917051	0.445471291	-0.277341805	0.869307487	0.325366339	0.501512046	0.393065437
VNG0041C	0.124608622	0.966865216	0.07371897	0.350049013	-0.366332989	0.353837457	-0.776238261	-0.62155238	0.188711481	0.192781107	0.667747712	0.349204497
VNG0042G	-0.09990909	-0.098050133	-0.47485149	-0.067767088	-0.700180061	-1.606771001	-0.294166276	0.065172868	-1.074617266	-0.412506976	-0.839868303	-0.980772944
VNG0043H	-0.489712798	-0.189959801	-1.157700582	-0.401298229	-1.354243313	-1.636566106	-0.732923888	-0.391727128	-0.428187795	-0.162023931	-1.334738545	-0.678142869
VNG0045C	-0.348812394	-0.906616633	-0.975637477	-0.508705872	-0.558026117	-1.197597583	0.253571406	-1.299195354	-1.150668306	0.007776231	-0.933485229	-0.583156861
VNG0046G	-1.105108802	-1.000587129	-1.218767312	-1.462388613	-1.483749378	-0.203677263	-2.213501573	-1.973282913	-1.545712151	-1.459935087	-0.671752678	-0.460694863
VNG0047G	0.395646871	-0.199299921	-0.208934869	0.175758181	0.003383693	0.00434428	0.349070484	0.069822362	-0.439976165	0.014190166	0.183409923	0.120156907
VNG0049H	-0.058550813	-0.402456863	-1.161949295	-0.216389133	-0.904746834	-0.29849465	0.365276954	-1.330581779	-1.473005796	-0.333559083	-1.4304833	-0.802588858
VNG0050C	0.877508988	0.083174503	-1.336299294	-0.186219541	-0.539824699	-0.782483	1.076666875	-1.504156668	-1.46167118	0.587844507	-1.183672737	0.001797634
VNG0051G	-1.155251934	-1.00752137	-2.491799349	-1.311722549	-1.514406789	-1.261221655	-3.011494236	-2.257374375	-1.413232146	-1.383009175	-1.902213846	-1.291436216
VNG0053H	0.499137375	0.399222968	0.536571567	0.209927785	0.64358149	0.30140871	0.563946864	0.537707457	0.276932548	-0.707508139	0.364383476	0.229952639
VNG0054H	1.007085584	1.02383858	0.708261595	-0.322528475	-0.156843714	1.048248778	0.486635778	-0.160887052	1.049074716	0.008403085	0.588667389	0.687022521
VNG0055H	0.47055469	0.233685314	0.417234453	0.132565609	1.739570862	-0.25073131	1.560179349	0.198496517	0.712509856	1.0235463	1.129608673	-0.039220711
